tipo_cruzamento,cidade,radar_leman_id,radar_leman_area_m2,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_area_m2,diferenca_area_pct,divisoes_compativeis,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por,diferenca_relevante_pct
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52232506,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.383733,6.491451",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52232515,,,True,"38 Chemin des Tréflons, 74200 Thonon-les-Bains",68.0,705.0,3.0,68.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.370542,6.486061",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52402655,,,True,"10 Avenue des Vallées, 74200 Thonon-les-Bains",75.0,282.0,3.0,75.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.370179,6.49955",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52584814,,,True,"31 Chemin des Tissottes, 74200 Thonon-les-Bains",76.0,1403.0,3.0,76.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.370542,6.486061",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-3-pieces-52703873,,,True,"10 Avenue des Vallées, 74200 Thonon-les-Bains",75.0,282.0,3.0,75.0,,3.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371206,6.481675",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-21567437,,,True,"1 Rue des Granges, 74200 Thonon-les-Bains",96.0,229.0,4.0,96.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.371206,6.481675",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-21567437#section-video,,,True,"1 Rue des Granges, 74200 Thonon-les-Bains",96.0,229.0,4.0,96.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.363873,6.466296",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-21989784,,,True,"12 Chemin des Voirons, 74200 Thonon-les-Bains",87.0,495.0,4.0,87.0,241.0,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.366149,6.47706",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-52648362,,,True,"3 Chemin du Martinet, 74200 Thonon-les-Bains",84.0,430.0,4.0,84.0,,4.0,0.0,,habitavel,0.0
apartamento,Thonon-les-Bains,,,"https://www.google.com/maps/search/?api=1&query=46.361272,6.457078",Laforêt Thonon-Évian,https://www.laforet.com/agence-immobiliere/thonon-evian/acheter/thonon-les-bains/appartement-4-pieces-52778750,,,True,"1 Chemin des Mésanges, 74200 Thonon-les-Bains",91.0,411.0,4.0,91.0,,4.0,0.0,,habitavel,0.0
